Agency,Advertiser,Product,Estimate,Market Code,Market Rank,Market,Network,Station,Media Type,Week Of,Type of Demographic,Demographic,Air Date,Air Day,Air Time,ISCI Length,Air ISCI,Cmml Title,Aired Prg Name,Est Ratings,Act Ratings,Act Impression,Rtg Source,Air Count,Air Detected Event,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,CBS,WCBS,Spot,01/15/2018,1,AD18-54,01/18/2018,Thursday,18:09:54,30,2TWNCTOK010,Nasacort OKeeffes,CBS 2 News at 6PM,0.00,0.70,65516,LPM/LV_0118,1,1767553637,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,CBS,WCBS,Spot,01/15/2018,2,AD35-64,01/18/2018,Thursday,18:09:54,30,2TWNCTOK010,Nasacort OKeeffes,CBS 2 News at 6PM,0.00,1.07,83782,LPM/LV_0118,1,1767553637,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,CBS,WCBS,Spot,01/22/2018,1,AD18-54,01/24/2018,Wednesday,18:24:57,30,2TWNCTOK040,Big Claims Zero Revised +,CBS 2 News at 6PM,0.00,0.43,40230,LPM/LV_0124,1,1773060196,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,CBS,WCBS,Spot,01/22/2018,2,AD35-64,01/24/2018,Wednesday,18:24:57,30,2TWNCTOK040,Big Claims Zero Revised +,CBS 2 News at 6PM,0.00,1.10,86399,LPM/LV_0124,1,1773060196,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,CBS,WCBS,Spot,01/22/2018,1,AD18-54,01/26/2018,Friday,17:13:38,30,2TWNCTOK040,Big Claims Zero Revised +,CBS 2 News at 5PM,0.00,0.96,89648,LPM/LV_0126,1,1774912740,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,CBS,WCBS,Spot,01/22/2018,2,AD35-64,01/26/2018,Friday,17:13:38,30,2TWNCTOK040,Big Claims Zero Revised +,CBS 2 News at 5PM,0.00,1.98,155475,LPM/LV_0126,1,1774912740,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,FOX,WNYW,Spot,01/01/2018,1,AD18-54,01/06/2018,Saturday,18:44:12,30,2TWNCTOK010,Nasacort OKeeffes,Fox 5 News at 6,0.00,0.64,60198,LPM/LV_0106,1,1757329068,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,FOX,WNYW,Spot,01/01/2018,2,AD35-64,01/06/2018,Saturday,18:44:12,30,2TWNCTOK010,Nasacort OKeeffes,Fox 5 News at 6,0.00,0.83,65542,LPM/LV_0106,1,1757329068,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,FOX,WNYW,Spot,01/08/2018,1,AD18-54,01/13/2018,Saturday,18:27:25,30,2TWNCTOK010,Nasacort OKeeffes,NFL Football,0.00,0.19,18067,LPM/LV_0113,1,1763228618,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,FOX,WNYW,Spot,01/08/2018,2,AD35-64,01/13/2018,Saturday,18:27:25,30,2TWNCTOK010,Nasacort OKeeffes,NFL Football,0.00,0.39,30628,LPM/LV_0113,1,1763228618,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,FOX,WNYW,Spot,01/15/2018,1,AD18-54,01/20/2018,Saturday,18:10:36,30,2TWNCTOK010,Nasacort OKeeffes,Fox 5 News at 6,0.00,0.22,20921,LPM/LV_0120,1,1769399306,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,FOX,WNYW,Spot,01/15/2018,2,AD35-64,01/20/2018,Saturday,18:10:36,30,2TWNCTOK010,Nasacort OKeeffes,Fox 5 News at 6,0.00,0.21,16438,LPM/LV_0120,1,1769399306,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,FOX,WNYW,Spot,01/22/2018,1,AD18-54,01/28/2018,Sunday,18:11:58,30,2TWNCTOK040,Big Claims Zero Revised +,Fox 5 News at 6,0.00,0.30,27636,LPM/LV_0128,1,1776600485,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,FOX,WNYW,Spot,01/22/2018,2,AD35-64,01/28/2018,Sunday,18:11:58,30,2TWNCTOK040,Big Claims Zero Revised +,Fox 5 News at 6,0.00,0.42,32623,LPM/LV_0128,1,1776600485,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,223,5,Dallas-Ft. Worth  TX,FOX,KDFW,Spot,01/01/2018,1,AD18-54,01/07/2018,Sunday,21:43:58,30,2TWNCTOK020,Zantac OKeeffes,Fox 4 News at 9,0.00,1.34,48497,LPM/LV_0107,1,1758093290,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,223,5,Dallas-Ft. Worth  TX,FOX,KDFW,Spot,01/01/2018,2,AD35-64,01/07/2018,Sunday,21:43:58,30,2TWNCTOK020,Zantac OKeeffes,Fox 4 News at 9,0.00,2.95,85886,LPM/LV_0107,1,1758093290,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,223,5,Dallas-Ft. Worth  TX,FOX,KDFW,Spot,01/08/2018,1,AD18-54,01/13/2018,Saturday,21:47:17,30,2TWNCTOK020,Zantac OKeeffes,Fox 4 News at 9,0.00,0.95,34294,LPM/LV_0113,1,1763228606,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,223,5,Dallas-Ft. Worth  TX,FOX,KDFW,Spot,01/08/2018,2,AD35-64,01/13/2018,Saturday,21:47:17,30,2TWNCTOK020,Zantac OKeeffes,Fox 4 News at 9,0.00,1.82,52977,LPM/LV_0113,1,1763228606,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,223,5,Dallas-Ft. Worth  TX,FOX,KDFW,Spot,01/08/2018,1,AD18-54,01/14/2018,Sunday,22:16:46,30,2TWNCTOK020,Zantac OKeeffes,Sports Sunday with Mike D,0.00,0.91,33009,LPM/LV_0114,1,1764036503,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,223,5,Dallas-Ft. Worth  TX,FOX,KDFW,Spot,01/08/2018,2,AD35-64,01/14/2018,Sunday,22:16:46,30,2TWNCTOK020,Zantac OKeeffes,Sports Sunday with Mike D,0.00,1.59,46373,LPM/LV_0114,1,1764036503,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,223,5,Dallas-Ft. Worth  TX,FOX,KDFW,Spot,01/15/2018,1,AD18-54,01/20/2018,Saturday,21:21:35,30,2TWNCTOK030,Nasacort Okeeffes,Fox 4 News at 9,0.00,0.88,31824,LPM/LV_0120,1,1769399288,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,223,5,Dallas-Ft. Worth  TX,FOX,KDFW,Spot,01/15/2018,2,AD35-64,01/20/2018,Saturday,21:21:35,30,2TWNCTOK030,Nasacort Okeeffes,Fox 4 News at 9,0.00,1.68,48976,LPM/LV_0120,1,1769399288,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,223,5,Dallas-Ft. Worth  TX,FOX,KDFW,Spot,01/22/2018,1,AD18-54,01/27/2018,Saturday,21:27:59,30,2TWNCTOK050,Big claims Allergery Days,Fox 4 News at 9,0.00,0.80,29077,LPM/LV_0127,1,1775800154,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,223,5,Dallas-Ft. Worth  TX,FOX,KDFW,Spot,01/22/2018,2,AD35-64,01/27/2018,Saturday,21:27:59,30,2TWNCTOK050,Big claims Allergery Days,Fox 4 News at 9,0.00,1.68,48880,LPM/LV_0127,1,1775800154,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/01/2018,1,AD18-54,01/01/2018,Monday,19:14:36,30,2TWNCTOK010,Nasacort OKeeffes,Off Script With Bruce Joh,0.00,0.32,10775,LPM/LV_0101,1,1753005855,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/01/2018,2,AD35-64,01/01/2018,Monday,19:14:36,30,2TWNCTOK010,Nasacort OKeeffes,Off Script With Bruce Joh,0.00,0.56,15337,LPM/LV_0101,1,1753005855,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/01/2018,1,AD18-54,01/02/2018,Tuesday,18:59:33,30,2TWNCTOK010,Nasacort OKeeffes,CBS Evening News With Jef,0.00,0.19,6205,LPM/LV_0102,1,1753848079,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/01/2018,2,AD35-64,01/02/2018,Tuesday,18:59:33,30,2TWNCTOK010,Nasacort OKeeffes,CBS Evening News With Jef,0.00,1.26,34395,LPM/LV_0102,1,1753848079,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/01/2018,1,AD18-54,01/03/2018,Wednesday,18:13:46,30,2TWNCTOK010,Nasacort OKeeffes,wusa 9 News at 6pm,0.00,0.43,14346,LPM/LV_0103,1,1754743632,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/01/2018,2,AD35-64,01/03/2018,Wednesday,18:13:46,30,2TWNCTOK010,Nasacort OKeeffes,wusa 9 News at 6pm,0.00,1.88,51247,LPM/LV_0103,1,1754743632,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/01/2018,1,AD18-54,01/04/2018,Thursday,23:22:48,30,2TWNCTOK020,Zantac OKeeffes,wusa 9 News at 11pm,0.00,0.96,32115,LPM/LV_0104,1,1755677793,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/01/2018,2,AD35-64,01/04/2018,Thursday,23:22:48,30,2TWNCTOK020,Zantac OKeeffes,wusa 9 News at 11pm,0.00,1.84,50141,LPM/LV_0104,1,1755677793,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/08/2018,1,AD18-54,01/08/2018,Monday,17:39:21,30,2TWNCTOK010,Nasacort OKeeffes,wusa 9 News at 5:30pm,0.00,0.61,20161,LPM/LV_0108,1,1758883833,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/08/2018,2,AD35-64,01/08/2018,Monday,17:39:21,30,2TWNCTOK010,Nasacort OKeeffes,wusa 9 News at 5:30pm,0.00,2.37,64528,LPM/LV_0108,1,1758883833,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/08/2018,1,AD18-54,01/08/2018,Monday,19:21:06,30,2TWNCTOK010,Nasacort OKeeffes,Off Script With Bruce Joh,0.00,0.22,7415,LPM/LV_0108,1,1758883834,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/08/2018,2,AD35-64,01/08/2018,Monday,19:21:06,30,2TWNCTOK010,Nasacort OKeeffes,Off Script With Bruce Joh,0.00,0.98,26742,LPM/LV_0108,1,1758883834,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/08/2018,1,AD18-54,01/08/2018,Monday,23:22:19,30,2TWNCTOK020,Zantac OKeeffes,wusa 9 News at 11pm,0.00,0.06,2005,LPM/LV_0108,1,1758883835,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/08/2018,2,AD35-64,01/08/2018,Monday,23:22:19,30,2TWNCTOK020,Zantac OKeeffes,wusa 9 News at 11pm,0.00,0.54,14797,LPM/LV_0108,1,1758883835,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/08/2018,1,AD18-54,01/09/2018,Tuesday,19:13:39,30,2TWNCTOK010,Nasacort OKeeffes,Off Script With Bruce Joh,0.00,0.20,6751,LPM/LV_0109,1,1759774780,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/08/2018,2,AD35-64,01/09/2018,Tuesday,19:13:39,30,2TWNCTOK010,Nasacort OKeeffes,Off Script With Bruce Joh,0.00,0.36,9900,LPM/LV_0109,1,1759774780,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/15/2018,1,AD18-54,01/15/2018,Monday,18:13:18,30,2TWNCTOK010,Nasacort OKeeffes,wusa 9 News at 6pm,0.00,0.42,14039,LPM/LV_0115,1,1764879177,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/15/2018,2,AD35-64,01/15/2018,Monday,18:13:18,30,2TWNCTOK010,Nasacort OKeeffes,wusa 9 News at 6pm,0.00,1.43,39018,LPM/LV_0115,1,1764879177,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/15/2018,1,AD18-54,01/16/2018,Tuesday,19:21:07,30,2TWNCTOK010,Nasacort OKeeffes,Off Script With Bruce Joh,0.00,0.16,5175,LPM/LV_0116,1,1765762418,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/15/2018,2,AD35-64,01/16/2018,Tuesday,19:21:07,30,2TWNCTOK010,Nasacort OKeeffes,Off Script With Bruce Joh,0.00,0.77,20993,LPM/LV_0116,1,1765762418,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/15/2018,1,AD18-54,01/17/2018,Wednesday,23:22:10,30,2TWNCTOK030,Nasacort Okeeffes,wusa 9 News at 11pm,0.00,0.57,18933,LPM/LV_0117,1,1766659574,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/15/2018,2,AD35-64,01/17/2018,Wednesday,23:22:10,30,2TWNCTOK030,Nasacort Okeeffes,wusa 9 News at 11pm,0.00,1.14,31039,LPM/LV_0117,1,1766659574,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/15/2018,1,AD18-54,01/18/2018,Thursday,17:38:04,30,2TWNCTOK010,Nasacort OKeeffes,wusa 9 News at 5:30pm,0.00,0.37,12191,LPM/LV_0118,1,1767553639,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/15/2018,2,AD35-64,01/18/2018,Thursday,17:38:04,30,2TWNCTOK010,Nasacort OKeeffes,wusa 9 News at 5:30pm,0.00,0.90,24438,LPM/LV_0118,1,1767553639,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/22/2018,1,AD18-54,01/23/2018,Tuesday,19:12:45,30,2TWNCTOK040,Big Claims Zero Revised +,Off Script With Bruce Joh,0.00,0.27,8848,LPM/LV_0123,1,1772156477,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/22/2018,2,AD35-64,01/23/2018,Tuesday,19:12:45,30,2TWNCTOK040,Big Claims Zero Revised +,Off Script With Bruce Joh,0.00,0.33,8865,LPM/LV_0123,1,1772156477,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/22/2018,1,AD18-54,01/24/2018,Wednesday,17:43:14,30,2TWNCTOK040,Big Claims Zero Revised +,WUSA 9 News at 5:30pm,0.00,0.22,7459,LPM/LV_0124,1,1773060198,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/22/2018,2,AD35-64,01/24/2018,Wednesday,17:43:14,30,2TWNCTOK040,Big Claims Zero Revised +,WUSA 9 News at 5:30pm,0.00,0.70,19000,LPM/LV_0124,1,1773060198,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/22/2018,1,AD18-54,01/25/2018,Thursday,19:15:21,30,2TWNCTOK040,Big Claims Zero Revised +,Off Script With Bruce Joh,0.00,0.20,6732,LPM/LV_0125,1,1774017985,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/22/2018,2,AD35-64,01/25/2018,Thursday,19:15:21,30,2TWNCTOK040,Big Claims Zero Revised +,Off Script With Bruce Joh,0.00,0.49,13482,LPM/LV_0125,1,1774017985,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/22/2018,1,AD18-54,01/25/2018,Thursday,23:23:27,30,2TWNCTOK050,Big claims Allergery Days,WUSA 9 News at 11pm,0.00,0.35,11688,LPM/LV_0125,1,1774017986,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/22/2018,2,AD35-64,01/25/2018,Thursday,23:23:27,30,2TWNCTOK050,Big claims Allergery Days,WUSA 9 News at 11pm,0.00,0.77,20888,LPM/LV_0125,1,1774017986,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/29/2018,1,AD18-54,01/29/2018,Monday,23:12:41,30,2TWNCTOK030,Nasacort Okeeffes,WUSA 9 News at 11pm,0.00,0.28,9383,LPM/LV_0129,1,1777433988,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,111,6,Washington  DC (Hagerstown  MD),CBS,WUSA,Spot,01/29/2018,2,AD35-64,01/29/2018,Monday,23:12:41,30,2TWNCTOK030,Nasacort Okeeffes,WUSA 9 News at 11pm,0.00,0.87,23711,LPM/LV_0129,1,1777433988,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,124,9,Atlanta  GA,CBS,WGCL,Spot,01/01/2018,1,AD18-54,01/01/2018,Monday,16:46:46,30,2TWNCTOK010,Nasacort OKeeffes,CBS46 Surprise Squad Spec,0.00,0.08,2652,LPM/LV_0101,1,1753005863,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,124,9,Atlanta  GA,CBS,WGCL,Spot,01/01/2018,2,AD35-64,01/01/2018,Monday,16:46:46,30,2TWNCTOK010,Nasacort OKeeffes,CBS46 Surprise Squad Spec,0.00,0.34,8959,LPM/LV_0101,1,1753005863,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,124,9,Atlanta  GA,CBS,WGCL,Spot,01/01/2018,1,AD18-54,01/01/2018,Monday,18:23:40,30,2TWNCTOK010,Nasacort OKeeffes,CBS46 News at 6pm,0.00,0.00,0,LPM/LV_0101,1,1753005864,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,124,9,Atlanta  GA,CBS,WGCL,Spot,01/01/2018,2,AD35-64,01/01/2018,Monday,18:23:40,30,2TWNCTOK010,Nasacort OKeeffes,CBS46 News at 6pm,0.00,0.63,16846,LPM/LV_0101,1,1753005864,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,124,9,Atlanta  GA,CBS,WGCL,Spot,01/01/2018,1,AD18-54,01/03/2018,Wednesday,23:23:41,30,2TWNCTOK020,Zantac OKeeffes,CBS46 News at 11pm,0.00,0.06,2017,LPM/LV_0103,1,1754743650,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,124,9,Atlanta  GA,CBS,WGCL,Spot,01/01/2018,2,AD35-64,01/03/2018,Wednesday,23:23:41,30,2TWNCTOK020,Zantac OKeeffes,CBS46 News at 11pm,0.00,0.30,7997,LPM/LV_0103,1,1754743650,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,124,9,Atlanta  GA,CBS,WGCL,Spot,01/01/2018,1,AD18-54,01/04/2018,Thursday,16:45:08,30,2TWNCTOK010,Nasacort OKeeffes,CBS46 News at 4pm,0.00,0.26,8362,LPM/LV_0104,1,1755677812,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,124,9,Atlanta  GA,CBS,WGCL,Spot,01/01/2018,2,AD35-64,01/04/2018,Thursday,16:45:08,30,2TWNCTOK010,Nasacort OKeeffes,CBS46 News at 4pm,0.00,0.90,23944,LPM/LV_0104,1,1755677812,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,124,9,Atlanta  GA,CBS,WGCL,Spot,01/01/2018,1,AD18-54,01/04/2018,Thursday,23:23:46,30,2TWNCTOK020,Zantac OKeeffes,CBS46 News at 11pm,0.00,0.62,20406,LPM/LV_0104,1,1755677813,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,124,9,Atlanta  GA,CBS,WGCL,Spot,01/01/2018,2,AD35-64,01/04/2018,Thursday,23:23:46,30,2TWNCTOK020,Zantac OKeeffes,CBS46 News at 11pm,0.00,1.73,45816,LPM/LV_0104,1,1755677813,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,124,9,Atlanta  GA,CBS,WGCL,Spot,01/08/2018,1,AD18-54,01/08/2018,Monday,16:48:38,30,2TWNCTOK010,Nasacort OKeeffes,CBS46 News at 4pm,0.00,0.19,6168,LPM/LV_0108,1,1758883850,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,124,9,Atlanta  GA,CBS,WGCL,Spot,01/08/2018,2,AD35-64,01/08/2018,Monday,16:48:38,30,2TWNCTOK010,Nasacort OKeeffes,CBS46 News at 4pm,0.00,0.50,13306,LPM/LV_0108,1,1758883850,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,124,9,Atlanta  GA,CBS,WGCL,Spot,01/08/2018,1,AD18-54,01/08/2018,Monday,18:21:09,30,2TWNCTOK010,Nasacort OKeeffes,CBS46 News at 6pm,0.00,0.58,19047,LPM/LV_0108,1,1758883851,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,124,9,Atlanta  GA,CBS,WGCL,Spot,01/08/2018,2,AD35-64,01/08/2018,Monday,18:21:09,30,2TWNCTOK010,Nasacort OKeeffes,CBS46 News at 6pm,0.00,1.35,35962,LPM/LV_0108,1,1758883851,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,124,9,Atlanta  GA,CBS,WGCL,Spot,01/08/2018,1,AD18-54,01/10/2018,Wednesday,23:23:15,30,2TWNCTOK020,Zantac OKeeffes,CBS46 News at 11pm,0.00,0.36,11817,LPM/LV_0110,1,1760634164,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,124,9,Atlanta  GA,CBS,WGCL,Spot,01/08/2018,2,AD35-64,01/10/2018,Wednesday,23:23:15,30,2TWNCTOK020,Zantac OKeeffes,CBS46 News at 11pm,0.00,0.93,24677,LPM/LV_0110,1,1760634164,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,124,9,Atlanta  GA,CBS,WGCL,Spot,01/08/2018,1,AD18-54,01/11/2018,Thursday,16:45:36,30,2TWNCTOK010,Nasacort OKeeffes,CBS46 News at 4pm,0.00,0.09,2769,LPM/LV_0111,1,1761490950,
