Station,Daypart,Spots,Length,A25-54,Daypart Code
WNLO,Sa-Su 6AM-9AM,5,30,6.6,EM02
WNYW,M-F 8AM-9AM,2,30,6.6,EM04
WOFL,M-F 5AM-6AM,2,30,6.6,EM07
WOFL,M-F 9AM-10AM,3,30,6.6,EM03
WOFL,Sa-Su 6AM-9AM,3,30,6.6,EM02
WOFL,Sa-Su 9AM-10AM,3,30,6.6,EM01
WOOD,M-F 6AM-7AM,2,30,6.6,EM06
WPEC,M-F 6AM-7AM,2,30,6.6,EM06
WPIX,M-F 6AM-7AM,1,30,6.6,EM06
WPIX,M-F 7AM-8AM,1,30,6.6,EM05
WPIX,Sa-Su 9AM-10AM,1,30,6.6,EM01
WPLG,M-F 5AM-6AM,1,30,6.6,EM07
WPLG,M-F 9AM-10AM,1,30,6.6,EM03
WPLG,Sa-Su 6AM-9AM,3,30,6.6,EM02
WPLG,Sa-Su 9AM-10AM,1,30,6.6,EM01
WPMT,M-F 7AM-8AM,3,30,6.6,EM05
WPMT,M-F 8AM-9AM,3,30,6.6,EM04
WPMT,M-F 9AM-10AM,2,30,6.6,EM03
WPMT,Sa-Su 9AM-10AM,3,30,6.6,EM01
WPRI,M-F 5AM-6AM,2,30,6.6,EM07
WPRI,M-F 9AM-10AM,2,30,6.6,EM03
WPRI,Sa-Su 9AM-10AM,2,30,6.6,EM01
WRGT,Sa-Su 6AM-9AM,2,30,6.6,EM02
WRGT,Sa-Su 9AM-10AM,3,30,6.6,EM01
WSB,M-F 5AM-6AM,2,30,6.6,EM07
WSB,M-F 9AM-10AM,1,30,6.6,EM03
WSB,Sa-Su 6AM-9AM,1,30,6.6,EM02
WSB,Sa-Su 9AM-10AM,1,30,6.6,EM01
WSVN,M-F 7AM-8AM,3,30,6.6,EM05
WSVN,Sa-Su 6AM-9AM,4,30,6.6,EM02
WSYX,Sa-Su 6AM-9AM,3,30,6.6,EM02
WTAT,M-F 7AM-8AM,3,30,6.6,EM05
WTNH,M-F 6AM-7AM,2,30,6.6,EM06
WTTE,Sa-Su 6AM-9AM,3,30,6.6,EM02
WTTG,Sa-Su 6AM-9AM,1,30,6.6,EM02
WTTG,Sa-Su 9AM-10AM,5,30,6.6,EM01
WTVC,M-F 5AM-6AM,2,30,6.6,EM07
WTVC,M-F 9AM-10AM,1,30,6.6,EM03
WTVJ,M-F 8AM-9AM,2,30,6.6,EM04
WTVJ,M-F 9AM-10AM,5,30,6.6,EM03
WTVJ,Sa-Su 9AM-10AM,5,30,6.6,EM01
WTVT,M-F 8AM-9AM,3,30,6.6,EM04
WTVT,M-F 9AM-10AM,2,30,6.6,EM03
WTVT,Sa-Su 9AM-10AM,5,30,6.6,EM01
WUSA,M-F 7AM-8AM,3,30,6.6,EM05
WUSA,M-F 8AM-9AM,1,30,6.6,EM04
WUSA,Sa-Su 6AM-9AM,3,30,6.6,EM02
WVEC,M-F 9AM-10AM,1,30,6.6,EM03
WVEC,Sa-Su 6AM-9AM,1,30,6.6,EM02
WVEC,Sa-Su 9AM-10AM,3,30,6.6,EM01
WWL,M-F 7AM-8AM,2,30,6.6,EM05
WWL,M-F 8AM-9AM,2,30,6.6,EM04
WWL,M-F 9AM-10AM,1,30,6.6,EM03
WWL,Sa-Su 9AM-10AM,2,30,6.6,EM01
WXIA,M-F 7AM-8AM,2,30,6.6,EM05
WXIA,M-F 8AM-9AM,1,30,6.6,EM04
WZVN,M-F 6AM-7AM,2,30,6.6,EM06
WZVN,Sa-Su 9AM-10AM,2,30,6.6,EM01
WZZM,M-F 6AM-7AM,3,30,6.6,EM06
WZZM,Sa-Su 9AM-10AM,4,30,6.6,EM01
